Source,Hindi,Transliteration,Meaning
Getting Started PDF,नमस्ते !,NamaSTe,Hello
Getting Started PDF,हिंदी,hiNDii,Hindi
Getting Started PDF,सुनना,SuNaNaa,To listen
Getting Started PDF,बोलना,boLaNaa,To speak
Getting Started PDF,समझना,SamajhaNaa,To understand
Getting Started PDF,पढ़ना,parhNaa,To read
Getting Started PDF,आपसे मिलकर खुशी हुई|,aapaSe miLakar khusii huyii,Nice to meet you
Getting Started PDF,आप,aap,You
Getting Started PDF,मैं,main,I/me/myself
Getting Started PDF,शब्द,sabD,word
Getting Started PDF,आपका नाम क्या है?,aapakaa Naam kyaa hai?,What's your name?
Getting Started PDF,मैं ... हूँ।,main ... huun.,I am (name).
Top 25 Cheatsheet,आपका नाम क्या है?,aapakaa Naam kyaa hai?,What's your name?
Top 25 Cheatsheet,आप कहाँ से हैं?,aap kahaan Se hain?,Where are you from?
Top 25 Cheatsheet,आप कहाँ रहते हैं?,aap kahaan rahate hain?,Where do you live?
Top 25 Cheatsheet,आप क्या करते हैं?,aap kyaa karaTe hain?,What do you do?
Top 25 Cheatsheet,क्या आप हिंदी बोलते हैं?,kyaa aap hiNDii bolaTe hain?,Do you speak Hindi?
Top 25 Cheatsheet,आप कितने समय से हिंदी की पढ़ाई कर रहे हैं?,aap kiTaNe Samay Se hiNDii kii padhaaii kar rahe hain?,How long have you been studying Hindi?
Top 25 Cheatsheet,आपने हिंदी कहाँ से सीखी ?,aapaNe hiNDii kahaan Se Siikhii?,Where did you learn Hindi?
Top 25 Cheatsheet,क्या आप भारतीय खाना खा सकते हैं?,kyaa aap bhaaraTiiy khaaNaa khaa SakaTe hain?,Can you eat Indian food?
Top 25 Cheatsheet,क्या आपको भारतीय खाना पसंद है?,kyaa aapako bhaaraTiiy khaaNaa paSaND hai?,Do you like Indian food?
Top 25 Cheatsheet,कैसा है?,kaiSaa hai?,How is it? (food)
Top 25 Cheatsheet,आपकी उम्र क्या है?,aapakii umr kyaa hai?,How old are you?
Top 25 Cheatsheet,आपका जन्मदिन कब है?,aapakaa jaNmaDiN kab hai?,When is your birthday?
Top 25 Cheatsheet,क्या आपके कोई भाई-बहन हैं?,kyaa aapake koii bhaaii-bahan hain?,Do you have brothers and sisters?
Top 25 Cheatsheet,आप कितने लंबे हैं?,aap kiTaNe Lambe hain?,How tall are you?
Top 25 Cheatsheet,क्या आपके पास मोबाइल फ़ोन है?,kyaa aapake paas mobaail foN hai?,Do you have a cell phone?
Top 25 Cheatsheet,आप कैसे हैं?,aap kaise hain?,How are you?
Top 25 Cheatsheet,कितने बजे हैं?,kiTaNe baje hain?,What time is it?
Top 25 Cheatsheet,आप क्या कर रहे हैं?,aap kyaa kar rahe hain?,What are you doing?
Top 25 Cheatsheet,क्या गड़बड़ है?,kyaa gadabad hai?,What's wrong?
Top 25 Cheatsheet,नई दिल्ली में मौसम कैसा है?,Nayii DiLLii men mauSam kaiSaa hai?,What's the weather like in New Delhi?
Top 25 Cheatsheet,क्या आपको भूख लग रही है?,kyaa aapako bhuukh Lag rahii hai?,Are you hungry?
Top 25 Cheatsheet,यह क्या है?,yah kyaa hai?,What's this?
Top 25 Cheatsheet,यह किसका है?,yah kisakaa hai?,Whose is this?
Top 25 Cheatsheet,क्या तुम नई दिल्ली गए हो ?,kyaa Tum Nayii DiLLii gaye ho?,Have you been to New Delhi?
Top 25 Cheatsheet,यह कितने का है?,yah kiTaNe kaa hai?,How much is this?
Common Phrases,धन्यवाद,DhaNyavaad,Thank you
Common Phrases,कृपया,krpyaa,Please
Common Phrases,माफ कीजिए,maaf kiijiye,Sorry / Excuse me
Common Phrases,कोई बात नहीं,koii baaT nahin,No problem
Common Phrases,हाँ,haan,Yes
Common Phrases,नहीं,nahin,No
Common Phrases,शुभ प्रभात,shubh prabhaat,Good morning
Common Phrases,शुभ रात्रि,shubh raatrii,Good night
